FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
A,,A,,,,B,,,,B,,,C,,A-,B+,A,,A,B,B,,,C,,,,D,,,,,D,,,C,,,C
B,,B,,,,C,,,,B,,,C,,C+,B,B,,B,C,C,,,C,,,,C-,,,,,B,,,C,,,C
B+,,A,,,,A,,,,B+,,,B,,A-,A,A,,B+,A-,A-,,,B-,,,,B+,,,,,B-,,,B,,,A-
B+,,V,,,,,,,,A,,,,B,,,A-,,B,D+,B-,,,D+,,,,,,,,,,,,,,,B+
B-,,B+,,,,A,,,,A,,B+,,,B,A-,B+,,B+,B,B-,,,C+,,,,C+,,,,,B+,,,B+,,,B
A,,A,,,,B+,,,,V,,A,,,A-,B,A,,B+,B,C-,,,B,,,,,,,B,,C+,,,B,,,B
V,,V,,,,,,B,,B,,,B,,C+,A-,B,,C,C,C,,,C,,,,,,,A-,,C+,,,D,,,C
A,,V,,,,,,A,,A,,A,,,A-,A-,A,,A,A,A,,,V,,,,,A,,,,A,,,A-,,,A
B,,B+,,,,A,,,,B+,,B-,,,,B,A,A-,B,V,,,,C+,,,,C,,,,,V,,,V,,,B+
D+,,A-,,,,B,,,,C+,,B+,,,,B-,B,A-,C+,C,C-,,,D,,,,,,,C,C,C+,,,C+,,,B-
A-,,B,,,,B,,,,B+,,A-,,,A,A,A,,B,C,C,,B,A-,,,,C-,,,,,C,,,B-,,,B
V,,A,,,,B,,,,A,,,B,,V,A,A,,A,V,V,,,V,,,,,A,,,,A,,,B,,,A
B,,V,,,,,,C+,,B-,,,,B+,B+,B+,B,,C+,C-,C,,,C+,,,,,,,B-,,C+,,,C+,,,C+
A,,A,,,,A,,,,A-,,A,,,,A,A,A,A-,B+,A-,,,A,,,,A-,,,,,A,,,A,,,B+
C+,,,,B-,,,,,A-,B,,,,,B+,B-,C+,B,C,D+,D,,,D,,,,,,,C,,C-,,,C,,,C
A,,A,,,,A-,,,,A,,,,,,,A,,A-,C+,A-,,,A-,,,,,,,,,,,,,,,A
C+,,A-,,,,B,,,,C+,,,,,B+,A,B,A,C,C+,C+,,,D,,,,D,,,,,B+,,,RF;C+,,,C-
B-,,A-,,,,A,,,,B,,C+,,,A-,A,B+,,C+,B-,B-,,,B,,,,,,,B+,,C+,,,B,,,C+
A-,,B+,,,,A,,,,A-,,,,,,,B+,,B,C,D+,,,B+,,,,,,,,,,,,,,,B+
B+,,A,,,,A,,,,B,,A,,,B,B,A-,C+,B,C+,B-,,,B+,,,,A-,,,,,A-,,,B,,,B-
A,,B,,,,B,,,,A,,,B,,A-,A,B,,A,A,B,,,B,,,,,,,B+,B,B,,,B+,,,B
B,,A,,,,A,,,,A,,A,,,A,A-,A,,B,C,C,,,C,,,,,,,C,,B,,,B,,,B
B-,,A,,,,B+,,,,B,,B,,,B,A-,B+,,A,B+,C+,,,B-,,,,B,,,,,A,,,B,,,B+
B,,B+,,,,B,,,,A,,,,,,,B+,B,B+,B+,B-,,,B-,,,,,,,,,,,,,,,B
A,,A,,,,A,,,,B,,A-,,,A,A,B,,B,B,B,,,B,,,,B-,,,,,B+,,,B,,,B
A,,,A,,,,A,,,A,,A,,,A,A,A,B+,B,B-,B,,,B,,,,,,,A,,B,,,B+,,,A
A,,,A,,,,A,,,A-,,A,,,A,A,A,A,A,V,,,,V,,,,,A-,,,,,A,,A,,,A-
A,,A-,,,,A-,,,,A-,,A,,,A,A,A-,B+,A-,B-,B-,,,D,,,,A-,,,,A-,B,,,B+,,,B-
A-,,B-,,,,D+,,,,B,,B-,,,B+,B,C,B,C+,D,D,,C,A-,,,,,,,C+,,C+,,,D,,,D
B+,,B,,,,B,,,,B+,,B,,,A-,A,B+,,B-,C,C-,,B-,B,,,,,,,D+,,D,,,D+,,,D+
C,,B,,,,A-,,,,D,,,,,,,C+,,D,D,D,,,F,,,,,,,,,,,,,,,D
B,,A-,,,,B,,,,C+,,,,,,,B+,,B,B,C-,,,B-,,,,,,,,,,,,,,,B-
B-,,B-,,,,A-,,,,A-,,A,,,,A,C+,B-,C,B-,C,,,C,,,,C,,,,,C+,,,C,,,B-
V,,A,,,,B+,,,,B,,,A-,,,,A,,B+,C,C,,,B,,,,,,,,,,,,,,,A
V,,A,,,,A-,,,,A-,,,B+,,A-,A,B+,A,B,B,B,,,D+,,,,B-,,,,,A,,,A-,,,A
B+,,A-,,,,A,,,,A,,,C+,,A-,B+,A,C,C,C-,C-,,,C,,,,,,,B+,C+,D+,,,D+,,,C+
B+,,V,,,,,,,,B,,,B+,,,,A-,,C,C,D+,,,C-,,,,,,,,,,,,,,,B
A,,A,,,,A-,,,,A,,,,A,A,A,A,,A,A-,B+,,,B+,,,,A-,,,,,A,,,A-,,,A-
A-,,B,,,,B,,,,B,,A,,,A,B+,A,B-,B+,C-,C,,,C,,,,D,,,,,B-,,,B-,,,A
A,,B,,,,A,,,,A,,B+,,,A,A-,A,,B,B,B,,,B,,,,C,,,,,B-,,,C+,,,B
A,,A,,,,A,,,,A,,A-,,,A,A-,A,,A,A,A,,,A,,,,A,,,,,A,,,C+,,,A
B-,,A-,,,,B,,,,B+,,,,B,C+,C,B,B,C,C,D,,,C,,,,,,,RF;C+,,D,,,D,,,D+
A,,V,,,,,,,,A,,,,,A,,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
C+,,C,,,,,,,,,,,,,,,D,,F,D,,,,,,,,,,,,,,,,,,,
B+,,A-,,,,A,,,,A-,,B+,,,,B+,A,A-,B,B,B-,,,B-,,,,C-,,,,,V,,,B,,,B+
C+,,B+,,,,B-,,,,C+,,,,,,,B,,D+,C-,C,,,C,,,,,,,,,,,,,,,B-
B+,,A-,,,,A,,,,B,,A,,,A-,B+,B+,,B,B,B+,,,A,,,,A-,,,,,B+,,,A-,,,B
B-,,A-,,,,A-,,,,B+,,A,,,A,A,A,A,A,V,V,,,A,,,,A,,,,,V,,,V,,,A-
A,,C+,,,,B,,,,B+,,,,,,,A-,,C+,C+,C,,,B+,,,,,,,,,,,,,,,B+
B,,A,,,,A,,,,B,,B+,,,A,A,A,,A,B,B,,,A,,,,,,,B+,,B-,,,B,,,B
B+,,V,,,,,,A-,,B,,A,,,B-,A,A-,,B,V,,,,B,,,,C-,,,,,V,,,V,,,A-
B+,,B+,,,,A,,,,C+,,A,,,A,A,B+,A,C,B-,C,,,C-,,,,,,,C+,,B,,,B+,,,B-
A,,B,,,,A-,,,,A-,,A-,,,A,A,B+,,B,B-,C+,,,B-,,,,,,,A,B,B-,,,C+,,,A-
,B,,,,A,,,,B,,B,,A-,,B-,A,A,,A,B,A,,,B,,,,A,,,,,A,,,A,,,A
B+,,V,,,,,,,,B,,B+,,,,,A,,B,V,V,,,B,,,,B,,,,,V,,,,,,A-
A-,,B,,,,B+,,,,C-,,,,,,,B+,,C,D,D,,,C,,,,,,,,,,,,,,,B-
A-,,V,,,,,,A,,A,,A,,,A,A,A,A,A,V,,,,V,,,,,A,,,A,,A,,A-,,,A
B,,,B,,,,B-,,,A-,,B+,,,B-,B-,A-,B,A,V,,,,A,,,,B+,,,,B,,A,,B,,,A
B,,A,,,,A-,,,,B,,B,,,A-,B+,A-,,A,B-,A-,,,C,,,,A-,,,,,B+,,,A,,,B-
A,,A,,,,A,,,,B,,A,,,A,B-,A,,A,B,C,,,C,,,,D,,,,,C,,,C,,,B
A,,A-,,,,A,,,,A,,A-,,,C+,A-,B+,,A-,B,B,,,V,,,,,C-,,,,A-,,,A-,,,B+
V,,A-,,,,B,,,,B-,,,A,,B+,A-,A-,B,C+,D+,C-,,,D+,,,,,,,A,,C-,,,C+,,,C+
A,,B,,,,B+,,,,A,,,B+,,A,A,A,,A,V,,,,V,,,,,B,,,,,A,,A,,,B+
V,,B+,,,,A,,,,A,,A-,,,A,A,A-,B+,B,B-,B-,,,B-,,,,,,,A,B,B,,,B+,,,A-
A-,,A-,,,,A-,,,,A,,A,,,A,A,A-,,B+,C,C-,,,B-,,,,,,,A,,B,,,B-,,,A-
B,,B,,,,B,,,,A,,,A-,,B,A,A,,B,B,C,,,C,,,,B-,,,,,B,,,B,,,B
B,,A-,,,,A,,,,B,,,,,,,A-,,B,B-,B-,,,C,,,,B-,,,,,,,,,,,A-
B+,,B+,,,,B,,,,B+,,B+,,,B-,B+,B-,B-,C,C,C,,,C-,,,,,,,C+,,C,,,C+,,,C-
B-,,B+,,,,C,,,,B,,,,,,,B-,,C-,RF;D,W,,F,,,,,,,,,,,,,,,,D+
V,,V,,,,,,A,,A,,,A,,B+,A,A,A,B,A,A,,,V,,,,,A,,,,A,,,A,,,B-
A,,A,,,,A,,,,A,,A,,,A-,A,A-,A-,A,B+,B+,,A,B+,,,,B+,,,,,A-,,,A,,,A
A,,A-,,,,A,,,,B,,A-,,,A-,A,A-,A,C+,C,C,,,B+,,,,A-,,,,,B,,,B,,,B
A-,,A,,,,A-,,,,A-,,A,,,B,A,A-,A,B,C+,C,,B+,B,,,,,,,A-,B-,B-,,,B-,,,B
B,,,,B,,,,,B,C+,,B,,,B,C+,A-,C,C-,D+,C,,,C-,,,,,,,C,,D,,,D,,,C
,A-,,,,A,,,,A,,A,A,,,A,A,A,A,A,V,V,,,A,,,,A,,,,A,,A,,A,,,A
A,,V,,,,,,B,,C-,,C+,,,B+,B,A-,,C+,C,D,,,C-,,,,,,,B-,,C-,,,D,,,D
B+,,,B+,,,,A-,,,A,,B+,,,A-,A,A-,B-,C+,V,,,,B-,,,,B,,,,,V,,,V,,,B+
,B,,,,B,,,,B,,C,B+,,,B+,B+,B,B-,D,D,D,,,B-,,,,,,,B,C+,C,,,C+,,,C+
A-,,A-,,,,A-,,,,B+,,,,B+,,A-,B,B+,B+,V,,,,B+,,,,,,,A,C,A,,,B+,,,A-
A,,,A-,,,,A,,,A,,,A,,A,A,A,,A-,V,,,,V,,,,,A,,,,V,,,A,,,A
A,,B+,,,,B-,,,,B,,A,,,,,A-,,B,V,,,,B,,,,B,,,,,,,,,,,B+
A,,V,,,,,,,,A,,,,,A-,,A,,A,A,A-,,,V,,,,,A,,,,,,,,,,A
V,,,B+,,,,A,,,A,,A,,,A,B+,A,,A-,B,B,,,A,,,,,,,A,,V,,,B,,,B+
B-,,,,A-,,,,,,C,,,,,,,C,,C,D+,C-,,,F,,,,,,,,,,,,,,,C
B+,,B+,,,,A-,,,,A-,,V,,,B+,A-,B+,,C,C,C,,A-,B-,,,,,,,D,,C+,,,C-,,,C-
A-,,B,,,,A-,,,,C+,,,,,,,B+,,B-,D+,D+,,,C-,,,,C-,,,,,V,,,,,,A-
V,,A-,,,,A,,,,B+,,,,B+,B+,B,B,B+,C+,B,B-,,,B+,,,,,,,A-,C+,B+,,,B,,,B-
B,,,A,,,,B+,,,B,,,C,,B,B+,B-,C+,C+,RF;C,C,,,D,,,,,,,C+,,D+,,,C,,,C
A-,,A,,,,C+,,,,B,,,,,,,B-,,B+,C,C-,,,V,,,,,B-,,,,,,,,,,B+
A,,V,,,,,,A-,,B,,A,,,,A,A-,B+,B,C,D+,,,C-,,,,,,,B-,,C-,,,C+,,,B+
A,,A,,,,A-,,,,A-,,,B,,A,A-,A-,,A-,B,B+,,,B-,,,,A-,,,,,B,,,B-,,,B
A,,B,,,,A,,,,A,,A-,,,A,A,A,,A,V,,,,A,,,,A,,,,A,A,,,A,,,A
B,,A,,,,A,,,,B+,,,C+,,A-,B-,A-,A-,B+,C+,C,,B,B,,,,,,,C,,D+,,,C,,,B+
V,,A,,,,A-,,,,A,,A-,,,V,B,A,,A,A,A,,,V,,,,,A,,,,A,,,A-,,,A
B,,A,,,,A,,,,B,,A,,,B-,B,A,,A,C,C,,,B,,,,,,,A-,B,B-,,,C+,,,B
A,,A,,,,A,,,,B+,,A,,,A-,A,A,A,A-,A,A-,,,B,,,,B+,,,,B+,A,,,A-,,,B-
B+,,,A-,,,,A,,,A-,,A-,,,,A-,A-,A-,B,B,B-,,,C,,,,B-,,,,,V,,,A,,,B
C,,A-,,,,A-,,,,B+,,,,C-,A-,A,B+,A,C,C-,C+,,,B,,,,,,,B-,,B-,,,B-,,,C
A,,V,,,,,,A,,A,,,A,,V,A,A-,A,B+,A,A,,,C+,,,,B-,,,,,A,,,A,,,A
A,,A,,,,A,,,,B+,,A,,,V,B+,A-,,A-,B-,B,,,B,,,,A,,,,,B+,,,B-,,,A-
V,,A,,,,A,,,,A,,,,A-,B,A,A,,A,B,B,,,A,,,,,,,A,B,A-,,,A,,,A
B,,V,,,,,,A,,B+,,,B,,A,A-,B+,A,B-,B-,B-,,,D,,,,D,,,,,C+,,,D+,,,B-
B,,B,,,,A,,,,A,,,A-,,A,A-,A,,B,B,B,,,V,,,,C,RF,,,,B+,,,B+,,,B
A,,B,,,,A,,,,B,,A-,,,A-,A-,A,,B,B,B,,,B,,,,C+,,,,,B-,,,B,,,B
B-,,B,,,,,B-,,,A-,,A,,,A-,B,B,A-,C,C-,D,,A-,B+,,,,,,,C,,D+,,,C-,,,C
F;W;RF,,D,,,,C,,,,C,,,,,B,W,D,,C,C,C,,,C,,,,,,,B,B,W,W,,,,,F;W;RF
A-,,A-,,,,A-,,,,B-,,,,A-,,A,A-,A-,B-,C,RF,B-,,D+,,,,,,,C+,,C+,,,B-,,,C+
A,,A,,,,A-,,,,B,,A,,,B,A-,B+,A-,B+,B-,C+,,,B,,,,,,,B+,C+,B,,,B-,,,A-
V,,A,,,,B+,,,,B+,,,B-,,A,A,A,B-,B-,B-,B-,,,B,,,,B-,,,,B+,B-,,,B-,,,B
B+,,A,,,,A-,,,,B,,,,,,,A,,B,D,C,,,B-,,,,,,,,,,,,,,,B
B+,,,A,,,,A-,,,B+,,A-,,,A,A,A-,,B+,B,B-,,,B,,,,,,,B-,,C+,,,C+,,,B-
B+,,A-,,,,A-,,,,A-,,,,,,,B,,C,C,C-,,,C,,,,,,,,,,,,,,,C+
A,,A-,,,,A,,,,A,,,,,,,A,,B,A-,A-,,,A-,,,,,,,,,,,,,,,A-
A,,A-,,,,A-,,,,B,,,,,,,A-,,B,C+,C+,,,B,,,,,,,,,,,,,,,B-
B,,A-,,,,B+,,,,B-,,A,,,A-,B+,B,C+,C,RF;C,C-,,B-,B-,,,,D+,,,,,D+,,,C-,,,C+
V,,A,,,,A,,,,A,,A,,,A,A,A,A,A,A,A,,,A,,,,,,,A,,A,,,A,,,A
A,,B,,,,A,,,,B,,A,,,A-,A,A,,A,C,D,,,C,,,,C,,,,,B,,,A-,,,B
V,,V,,,,,,A-,,A,,,A-,,A,A,A,A,A,A,A,,,C+,,,,C,,,,,A,,,B,,,A-
V,,A,,,,A-,,,,B,,A,,,V,,A,,A-,A-,B+,,,A,,,,A-,,,,,,,,,,,A
A,,B+,,,,A,,,,B+,,A-,,,A-,A,B+,A-,B,C,C-,,,C,,,,C-,,,,,C+,,,C-,,,C+
V,,A,,,,A,,,,A,,A-,,,B,A,A,,A,C,B,,,C,,,,B,,,,B,B,,,B,,,B
A-,,A-,,,,B+,,,,B,,A,,,A-,B,A,B,B,C+,C,,B-,B+,,,,,,,B,D+,C+,,,C,,,B
A-,,A,,,,A-,,,,A-,,A,,,A,A-,A-,B,A-,B-,C+,,,C,,,,,,,B,,C-,,,B-,,,B
A,,A,,,,A-,,,,A,,,,,,,A,,A,B,B-,,,A-,,,,C,,,,,,,,,,,A-
A,,B,,,,A,,,,A,,A,,,A,A,B,,A,V,,,,A,,,,A,,,,,A,,,A,,,A
A-,,B,,,,A-,,,,A-,,,A-,,,A-,A,B,A-,C-,C,,,B-,,,,C+,,,,C,A-,,,C+,,,B-
A,,A,,,,A,,,,A-,,,B+,,B+,A-,A,B,B-,V,,,,V,,,,,A,,,,,A,,A,,,C+
A,,A-,,,,B+,,,,A-,,A,,,A,B+,B+,,B+,B,B-,,,B,,,,C,,,,,A-,,,B-,,,B
B-,,B,,,,B,,,,B-,,,,,,W,B,,C,C,C-,,,D+,,,,,,,W,,W,,,,,,D+
D,,C,,,,C,,,,C-,,,,A-,C,B+,RF;C+,C+,D,RF;B-,C+,,D,D,,,,,,,RF;B-,,C,,,D+,,,D
B-,,B,,,,B-,,,,B+,,A-,,,B-,B+,B+,,C+,B+,C,,,V,,,,,B,,,,V,,,B,,,B
B,,A,,,,A,,,,B,,A-,,,B,A-,B,,A,C,C,,,B,,,,B-,,,,,C,,,B,,,B
A,,V,,,,,,B,,A-,,,,A,C+,A,A,A,A-,A,A-,,,A,,,,B+,,,,,B-,,,B+,,,A-
B,,A,,,,A-,,,,B-,,A-,,,A-,A-,A-,,B+,C+,C,,,B,,,,,,,C+,,A-,,,C-,,,B-
A-,,B+,,,,B+,,,,A,,,,,,,A,,A-,B,B,,,B-,,,,,,,,,,,,,,,B
V,,V,,,,,,A-,,B,,A,,,A,A,A,B,B,A,B+,,,V,,,,,C+,,,B+,A-,,,B,,,A
A,,V,,,,,,A,,A,,A,,,A,A,A,,A,A,A,,,A,,,,A,,,,A,A,,,A,,,A
V,,A-,,,,A,,,,A-,,A,,,,,A,,B+,B+,A-,,,V,,,,,B,,,,,,,,,,A
A,,V,,,,,,A-,,A,,,A,,A,A,A,A,A,A,A,,,V,,,,,A,,,,V,,,V,,,A
C,,B,,,,D,,,,A,,B-,,,B,A-,C,,C,C,D,,C,C,,,,,,,B-,,C-,,,D,,,C
A-,,A-,,,,B-,,,,B+,,,,,,,A,,B-,D+,C-,,,C,,,,C-,,,,,,,,,,,B+
V,,V,,,,,,A,,A-,,A,,,W;A,A,A,A,A-,A-,A,,,A,,,,A,,,,,A,,,A,,,A
A,,V,,,,,,,,A,,,,,V,,A,,A,A-,A,,,V,,,,,A-,,,,,,,,,,A
B-,,,,B-,,,,,C,B,,,C-,,RF;C,B-,A,,B,C+,C-,,,B-,,,,RF;C,,,,,C+,,,C,,,C
A-,,V,,,,,,C+,,B+,,,C,,A,B+,A-,B,C+,C,C+,,,C+,,,,,,,B,B-,B-,,,C,,,C+
B+,,V,,,,,,B+,,B-,,,,B+,B,A-,B-,,B+,B-,C-,,,A-,,,,,,,A,A-,B+,,,A-,,,B
A-,,,A,,,,B+,,,A,,,,A-,A,A-,A-,A-,A,A-,A,,,V,,,,,A-,,,A,A,,,A,,,A
A,,A,,,,A,,,,B,,B,,,A,A-,A,,A,A,A,,,B,,,,A,,,,,A,,,B+,,,A
B,,A,,,,,,A,,B,,A-,,,A-,B,A,,A,C,C,,A,C,,,,,,,B,,C-,,,C-,,,C
A-,,A,,,,A,,,,A-,,,,,,,A-,,A,C,B,,,B,,,,C,,,,,,,,,,,A-
A-,,B+,,,,B,,,,C,,B-,,,B,A-,B,,C+,C,D+,,,C,,,,,,,C,RF,C-,,,B-,,,C
A,,A,,,,A,,,,B,,B,,,B+,B+,A,,A,A,B,,,B,,,,B,,,,,B,,,C,,,A
C,,B,,,,B,,,,B,,A,,,B,A-,B,B-,B,C+,C,,,C+,,,,,,,B+,D,C-,,,C+,,,C
V,,B,,,,A-,,,,B-,,A,,,B+,B,A,,B+,B+,C,,,V,,,,,C,,,C,C+,,,B-,,,B
A,,B+,,,,B+,,,,A,,,,,,,A,,B+,B-,C,,,C,,,,,,,,,,,,,,,B
V,,V,,,,,,A,,A,,A,,,A,A,A,A,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
A,,B+,,,,B+,,,,A,,,A-,,A-,A-,A,,A,A,A,,,A,,,,,,,A,A,A,,,A,,,A-
A,,A,,,,A,,,,A,,,,A,A,A,A,,A,A,A,,,V,,,,,A,,,A,,B,,,B,,A
,C+,,,,B+,,,,B,,C,B,,,,,B-,A-,B+,B+,B-,,,A-,,,,,,,A,,B,,,B,,,C
A-,,B,,,,A,,,,A,,,,,,,B,,B,B-,C,,A-,A-,,,,,,,,,,,,,,,B+
A,,V,,,,,,A,,A,,B,,,A,A,A,,A,B,A,,,B,,,,B,,,,,A,,,A,,,A
B+,,,A,,,,A-,,,A,,C+,,,A-,A-,B+,B-,C,RF;A-,B,,,C,,,,,,,C+,,C,,,C+,,,C
B,,B,,,,A,,,,B,,,B-,,,B,A,,A,B,B,,,B,,,,,,,B,,C,,,,,,B
B+,,A,,,,B,,,,B,,,,,,,B+,,B,C,C-,,,A-,,,,,,,,,,,,,,,B
V,,V,,,,,,A,,A,,A,,,A,A,A,,A,A,A,,,V,,,,,A,,,A,A,,,A-,,,A
V,,,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,,,,,
,A,,,,A,,,,,,A,,,,A-,,A,,A,V,,,,A,,,,A,,,,,,,,,,,A
V,,A,,,,A-,,,,B+,,B+,,,,,A-,,B+,B,C+,,,C,,,,C+,,,,,,,,,,,A
V,,A-,,,,A,,,,B+,,,,,A,,A,,A-,C,C,,,V,,,,,C,,,,,,,,,,A
,,,,,,,,,,B+,,,B+,,,,,,A-,,,,,,,,,,,,,,,,,,,,B+
B,,B,,,,A,,,,C+,,,,,,,B+,A-,C+,D,D,,,C,,,,,,,,,,,,,,,B
A-,,B,,,,A-,,,,C+,,,A-,,B+,A,B,,B,B-,B-,,,B-,,,,,,,B-,,B-,,,B-,,,C
V,,V,,,,,,A,,A,,A,,,B,A,A,B+,B+,A,A-,,,B+,,,,B,,,,C,A-,,,C+,,,A-
,B-,,,,A,,,,,,B,,,,,,B+,,A-,C+,C+,,,B+,,,,,,,,,,,,,,,B+
A,,V,,,,,,,,A,,A,,,,,A,,A,B+,B+,,,A,,,,A,,,,,,,,,,,A
B+,,B,,,,B-,,,,B+,,,,,,,B+,,B-,C-,D,,,C,,,,,,,,,,,,,,,B
B+,,,A,,,,A,,,A,,A-,,,A-,A,A,A,A,B+,A,,,A,,,,A,,,,,A,,,A,,,A
V,,B+,,,,A-,,,,B,,,,,B-,,A-,,B+,B+,B+,,,A-,,,,B+,,,,,,,,,,,A-
B+,,B-,,,,D,,,,C+,,,,,,,B-,,C+,RF;B-,C-,,,D,,,,,,,,,,,,,,,C
A,,B,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,B-
A,,A,,,,A,,,,A,,A,,,A,A,A,,B,A,B,,,B,,,,,,,B,,B-,,,B,,,B
B+,,A,,,,A-,,,,A,,,,,,,A,,A-,A-,A-,,,A,,,,B+,,,,,,,,,,,A
B-,,A,,,,B+,,,,B,,,,,,,A,,C+,C,C,,,C,,,,C,,,,,,,,,,,A-
B,,B,,,,A,,,,B,,B+,,,A,A,A,,A,B,B,,,B,,,,C-,,,,,B-,,,B,,,B
A,,A,,,,B+,,,,C,,,,,,,B-,,C,D,D,,,D+,,,,,,,,,,,,,,,C+
B+,,A,,,,A,,,,B,,,B-,,,A,A-,A,B,C+,D+,,,D+,,,,,,,B,C-,C+,,,C+,,,B+
,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,
A,,B,,,,A,,,,A,,A,,,A,A-,A,,B,B,C,,,A,,,,B,,,,,A,,,B+,,,A
C,,A-,,,,B,,,,C+,,A-,,,A-,A,A-,,B,C+,C+,,,B-,,,,C+,,,,,,,,,,,C+
A-,,V,,,,,,A,,B,,,C,,A,A,A,A-,B,A-,A-,,,,,B-,V,,,C,,,A-,,,A-,,,A-
A,,V,,,,,,A,,A,,,A,,A,A,A,A,A,V,,,,V,,,,,A,,,,,A,,,,,A
B,,B+,,,,B,,,,A-,,A,,,,A-,B,,B-,B-,D+,,A-,B,,,,B-,,,,,C+,,,C,,,B
A-,,A-,,,,B+,,,,B,,,,B+,,B+,B,C+,B-,C,C,,,C,,,,C,,,,,B-,,,B-,,,B
A-,,A-,,,,B,,,,A,,,W,,,A-,B,,A-,C-,D+,,,D,,,,,,,C-,,D,,,W,,,B-
C,,A-,,,,C+,,,,C,,,,,,,B+,,B,C-,D+,,,C+,,,,D,,,,,,,,,,,C+
B,,B,,,,B+,,,,C,,A-,,,B-,B+,A-,C,B-,C,C-,,,C-,,,,,,,B-,C,B-,,,B,,,C
V,,V,,,,,,A,,A,,,A,,A-,A,A-,B,C+,B+,A,,,B,,,,,,,A-,,A-,,,B-,,,B
,A-,B-,,,,B-,,,,,A,A,,,C+,B,B+,,B-,A-,A,,,A,,,,B-,,,,,A,,,A,,,A
V,,A,,,,A,,,,A-,,A,,,A,A,A,,A,V,,,,,,A,V,,,A-,,A-,A,,,A,,,A-
C,,A-,,,,A-,,,,C,,,C+,,B+,B-,B,D,B-,D+,D+,,C,D+,,,,,,,D+,,D,,,C-,,,D+
B-,,A,,,,B+,,,,A-,,A,,,A-,A,B+,A,A-,B,B,,,B+,,,,,,,B+,,C-,,,C+,,,B
A-,,B,,,,A,,,,C+,,A,,,B,B,A-,C+,B,B-,C,,,B-,,,,,,,C,,C-,,,B-,,,C
B+,,A,,,,B+,,,,A,,,A-,,A-,A,B+,,C,C+,C-,,,,,D+,V,,,D+,,,B,,,C-,,,C+
B,,A,,,,A,,,,B+,,,B-,,,A-,A,B+,B+,D+,C,,C+,B+,,,,,,,C,,C+,,,B,,,B
A-,,B,,,,A,,,,B,,A-,,,B+,B+,A,A-,B+,D+,B,,,,,D+,V,,,RF,A-,C+,D,,,C+,,,B-
B,,A-,,,,A,,,,A-,,B+,,,B+,A,B+,B+,B+,B+,B+,,,A-,,,,B+,,,,,B-,,,B,,,B+
B,,A,,,,A,,,,A,,A,,,B+,B,A-,B,C+,C-,C,,,C,,,,,,,A-,C,D,,,C+,,,A
A,,A,,,,A,,,,A,,,,,,,A,,A,B,B,,,V,,,,,B+,,,,,,,,,,A
A,,C+,,,,B+,,,,B,,C+,,,B+,B+,B+,C+,C,D,D+,,,D,,,,,,,B-,,C-,,,C,,,C-
B,,A,,,,B,,,,B,,A,,,C+,A,A,,B,B,C,,,A,,,,,,,B+,B,B,,,B-,,,B
A-,,A,,,,A-,,,,B,,A,,,,B+,A,B,B-,B+,B-,,,A,,,,C,,,,,B,,,C+,,,B+
A,,A,,,,A,,,,A-,,,,,,,A,,A-,A,A,,,A,,,,,,,,,,,,,,,A-
A,,A,,,,A,,,,A,,,A,,A,A,A,,A,V,,,,,,A,V,,,A,,,A,,,A,,,A
A,,B+,,,,A,,,,A-,,A,,,A,A,A,A,B-,B,C+,,,C+,,,,,,,B+,C,B-,,,B,,,B+
V,,A,,,,A-,,,,A-,,A,,,,A,A,B+,A,B-,A-,,,A,,,,A-,,,,,A,,,A,,,A-
V,,V,,,,,,A,,A,,,,A-,A,A,A-,A,A-,A,A,,,V,,,,,A,,,,V,,,A-,,,A
B+,,A,,,,A-,,,,A,,B+,,,A-,A-,A-,A,A,B,B+,,,,,A,V,,,A,,A-,A,,,A-,,,B+
A,,A,,,,A,,,,A,,,,,,,A,,B,B+,B+,,,,,A,V,,,B,,,,,,,,,B
B,,B,,,,A,,,,B,,B-,,,C+,B,A,,B,D,D,,D,B,,,,,,,C-,,RF,,C+,B-,,,C
C,,B-,,,,C+,,,,C-,,D+,,,B-,C+,C,,C,C-,C,,,B-,,,,,,,C,,D+,,,D,,,D+
V,,A,,,,A,,,,B,,,B,,V,A-,A,,B,B,C,,,B,,,,C,,,,,B-,,,C+,,,B
C+,,A,,,,A,,,,B,,A-,,,B,A,A-,A-,A-,V,,,,A-,,,,B+,,,,,V,,,V,,,B+
C+,,B+,,,,C,,,,C,,,,,,,B,,B-,D,D,,,C,,,,,,,,,,,,,,,C
C+,,B+,,,,A-,,,,B+,,A-,,,B,A-,B,,B,B-,B-,,,B,,,,C,,,,,A-,,,B,,,B+
B,,C+,,,,B+,,,,B+,,,,,,,A-,,B,C,D+,,,C,,,,,,,,,,,,,,,B-
