FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
,B-,,,,B,,,,B-,,C+,C-,,,B+,B-,B-,C,C,D,D,,C,C,,,,,,,C,,RF,,D,D+,,,A-
B,,,B+,,,,B,,,B-,,,,B,A,A,A-,,B+,B,C-,,,B,,,,,,,B,,B-,,,B,,,B
A-,,C,,,,A-,,,,B,,,,,,,B,,B-,C+,C+,,,C+,,,,C+,,,,,,,,,,,A-
A,,A-,,,,B,,,,B-,,A,,,B,A,B+,,C+,C-,D,,,D,,,,,,,C+,,B,,,C+,,,C
,,B+,,,,,,,,B,,,,,,,,,,C+,,,,,,,,,,,,,,,,,,,D
B+,,A,,,,B+,,,,B+,,,B-,,B,A-,A-,,B-,C+,B-,,,C+,,,,,,,B-,C+,A-,,,B,,,C+
A-,,,A,,,,B+,,,A-,,,,B+,B,A,A,,B+,C-,C-,,,A,,,,,,,B+,C-,B-,,,B,,,A-
A-,,A-,,,,A,,,,A,,A-,,,,A,A-,A,A-,B+,B-,,,B+,,,,B,,,,,A,,,B+,,,B+
A-,,A,,,,A,,,,A-,,A,,,B,B+,B+,,B+,C-,C,,,C-,,,,C,,,,,C,,,C,,,B
V,,,A,,,,A,,,B,,A,,,B,A-,A,,B,B,A,,,V,,,,,B,,,A,B+,,,A-,,,A
C+,,A,,,,C,,,,B+,,,,,,,A-,,A-,C-,D,,,B-,,,,,,,,,,,,,,,B+
,B,B,,,,B+,,,,,D,,,,,,C+,,C,D+,D,,,B-,,,,,,,,,,,,,,,B
B-,,,A-,,,,A-,,,A-,,A,,,B+,A-,B,B,C+,B,A-,,,A-,,,,C,,,,B-,B,,,C+,,,B+
