economicActivity,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
Miscellaneous manufacturing industries,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Electricity, gas, heat supply and water",0.2;0.1,nan;nan,nan;nan,nan;nan,0.8;0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Communications,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Broadcasting,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan
Information services,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Internet based services,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Video picture, sound information, character information production and distribution",nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.5;0.2,nan;nan,nan;nan,nan;nan,nan;nan,0.5;0.2,nan;nan,nan;nan,nan;nan,nan;nan
Railway transport,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.1;0.05,0.9;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Road passenger transport,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Road freight transport,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Water transport,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.95;0.025,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Air transport,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.2;0.05,0.8;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Warehousing,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Services incidental to transport,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.35;0.15,0.35;0.15,0.3;0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Postal activities, including mail delivery",nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Wholesale trade,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Retail trade, general merchandise",nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Retail trade (dry goods, apparel and apparel accessories)",nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Retail trade (food and beverage),nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Retail trade (machinery and equipment),nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Miscellaneous retail trade,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Finance and insurance,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Real estate,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Goods rental and leasing,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Scientific and development research institutes,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Professional services, N.E.C.",nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.8;0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.2;0.1,nan;nan,nan;nan,nan;nan,nan;nan
Advertising,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
"Technical services, N.E.C.",0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.2;0.05,0.2;0.05,0.1;0.05,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.3;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.05;0.025,nan;nan,nan;nan,nan;nan,nan;nan
Accommodations,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
